source,keyword_or_blog,title,url,date
rss,hun1188,국민건강보험공단 임직원을 위한 캔바 활용 특강ㅣ공공기관 2박 3일 캔바 실무 교육ㅣ이지쌤,https://blog.naver.com/hun1188/224254480276?fromRss=true&trackingCode=rss,2026-04-16
rss,hun1188,CANVA CREATE 2026 이지쌤 캔바 크리에이트 VIP 초청 & 캔바 신간 출간 소식!,https://blog.naver.com/hun1188/224253235583?fromRss=true&trackingCode=rss,2026-04-15
rss,hun1188,이지쌤 신간 『이게 되네? 캔바 AI 미친 활용법 47제』 출간 기념 이벤트!,https://blog.naver.com/hun1188/224250819883?fromRss=true&trackingCode=rss,2026-04-13
rss,hun1188,캔바 유저는 꼭 봐야할 이벤트! 캔바 크리에이트(Canva Create) 2026 소개 | 이지쌤,https://blog.naver.com/hun1188/224246490959?fromRss=true&trackingCode=rss,2026-04-09
rss,sunny-canva,"컴퓨터 노트북 윈도우 화면 녹화 프로그램, 단축키 저장위치 정리",https://blog.naver.com/sunny-canva/224337833505?fromRss=true&trackingCode=rss,2026-07-06
rss,sunny-canva,"제헌절 법인 마크 꾸미기, 우리나라에 법이 없었다면 내가 만들고 싶은법 도안",https://blog.naver.com/sunny-canva/224334256002?fromRss=true&trackingCode=rss,2026-07-05
rss,sunny-canva,"TCP/IP 주소 포트 확인 방법, IPTIME공유기 설치 및 비밀번호 설정까지",https://blog.naver.com/sunny-canva/224332640532?fromRss=true&trackingCode=rss,2026-07-04
rss,sunny-canva,캔바 AI사진 이미지 편집기로 복잡한 편집을 간편하게,https://blog.naver.com/sunny-canva/224332640207?fromRss=true&trackingCode=rss,2026-07-03
rss,sunny-canva,모아맘보육재단 직장어린이집 교사 대상 CANVA 온라인 교육 후기,https://blog.naver.com/sunny-canva/224334323271?fromRss=true&trackingCode=rss,2026-07-02
rss,sunny-canva,"네이버웨일 브라우저 설치 방법, 다크모드 설정 및 웨일온화상회의 무료 사용까지",https://blog.naver.com/sunny-canva/224332639772?fromRss=true&trackingCode=rss,2026-07-02
rss,sunny-canva,"윈도우10 작업표시줄 위치 설정, 안보임 안뜸 안사라짐 투명 하는법",https://blog.naver.com/sunny-canva/224332639405?fromRss=true&trackingCode=rss,2026-07-01
rss,sunny-canva,"URL 단축 방법, 링크 줄이기 꿀팁 2가지 (네이버QR코드, 비틀리 BIT.LY)",https://blog.naver.com/sunny-canva/224319077671?fromRss=true&trackingCode=rss,2026-06-29
rss,sunny-canva,"네이버 QR코드 만들기, 큐알코드 스캔 방법까지 한 번에 알아보기",https://blog.naver.com/sunny-canva/224319076763?fromRss=true&trackingCode=rss,2026-06-25
